species,dispersal_distance_class,dispersal_vector,seed_buoyancy,seed_terminal_velocity,palatability,growth_form,growth_form_aquatic,woodiness,LDMC,SLA,leaf_C,leaf_CN_ratio,leaf_N,leaf_NP_ratio,leaf_P,leaf_chlorophyll,longevity,fruit_type,nectar_production,pollinator_type,seed_bank_persistency,seed_dormancy,seed_longevity_index,seed_mass,RDMC,SRA,SRL,mycorrhiza_colonization_intensity,mycorrhiza_type,root_N,root_P,root_mass_fraction,height,leaf_area,leaf_length,leaf_mass,leaf_thickness,rooting_depth,Grime_strategy,carnivory,leaf_phenology,nitrogen_fixation,parasitism,photosynthetic_pathway
Alchemilla alpina,1,Passive,0.93,1.72,4,Chamaephyte,terrestrial,non-woody,0.339,5.42,453.4,33,17.3,13.5,1.2,4.73,4,achene,3,0d,1,3,0,0.52,0.285,808.09,17.05,30,AM,8.8,0.9,0.39286,3.7,123.9,10.8,9,0.45,0.48,CSR,no,evergreen,no,none,C3
Alchemilla baltica,1,Passive,0.73,2.5,5,Hemicryptophyte,terrestrial,non-woody,0.253,8.22,442.4,18.7,25.8,8.8,2.9,6.95,4,achene,3,0d,3,3,0.31,0.68,0.188,1517.68,140.38,52.8,AM,15.7,1.07,0.450307333333334,7.7,842.6,20.7,39.5,0.439,0.52,CSR,no,deciduous,no,none,C3
Alchemilla borealis,1,Passive,0.89,2.33,4,Hemicryptophyte,terrestrial,non-woody,0.247,10.5,442.6,19.7,24.7,9.7,2.8,7.49,4,achene,3,0d,3,3,0.31,0.6,0.204,1208.7,114.76,48.1,AM,13.6,1.04,0.446522,5.9,2050.4,19.1,79.2,0.436,0.49,CSR,no,deciduous,no,none,C3
Alchemilla chirophylla,1,Passive,0.84,2.36,4,Hemicryptophyte,terrestrial,non-woody,0.284,7.63,446.3,20.1,23.2,9.9,2.5,6.4,4,achene,3,0d,3,3,0.3,0.64,0.211,1051.5,93.33,52.7,AM,13.3,1.03,0.423461,4.4,333.2,16.2,16.6,0.444,0.51,CSR,no,deciduous,no,none,C3
Alchemilla cymatophylla,1,Passive,0.85,2.45,4,Hemicryptophyte,terrestrial,non-woody,0.248,8.33,441,19.3,24.7,8.9,2.9,7.43,4,achene,3,0d,3,3,0.31,0.66,0.188,1392.41,146.33,49.9,AM,14.6,1.04,0.446093,7.3,803.4,19.6,40,0.438,0.51,CSR,no,deciduous,no,none,C3
Alchemilla faroensis,1,Passive,0.73,2.51,5,Hemicryptophyte,terrestrial,non-woody,0.246,8.22,431.4,17.5,27.3,8.8,3.1,7.44,4,achene,3,0d,3,3,0.3,0.64,0.181,1350,141.44,47.7,AM,17.2,1.1,0.447195,7.1,804.1,19.1,39.4,0.438,0.51,CSR,no,deciduous,no,none,C3
Alchemilla filicaulis,1,Passive,0.79,2.27,4,Hemicryptophyte,terrestrial,non-woody,0.276,7.48,438,16.4,26.7,6.7,4,7.09,4,achene,3,0d,3,3,0,0.55,0.196,1454.45,139.76,49.1,AM,14.3,1.01,0.4457525,4.6,444,17.1,25.6,0.441,0.5,CSR,no,deciduous,no,none,C3
Alchemilla glabra,1,Passive,0.98,2.52,5,Hemicryptophyte,terrestrial,non-woody,0.259,8.13,437.8,18.8,25.6,10,2.7,7.4,4,achene,3,0d,3,3,0.34,0.54,0.184,1367.06,151.42,70,AM,14.8,1.02,0.419786666666667,10,346.8,15.1,17.8,0.436,0.48,CSR,no,deciduous,no,none,C3
Alchemilla glaucescens,1,Passive,0.85,2.32,4,Hemicryptophyte,terrestrial,non-woody,0.304,6.93,479,26.9,17.8,9.7,2.2,6.58,4,achene,3,0d,3,2,1,0.54,0.216,1041.15,73.14,54.5,AM,12.3,0.99,0.460926333333334,6.9,672.8,16.7,35.3,0.443,0.5,CSR,no,deciduous,no,none,C3
Alchemilla glomerulans,1,Passive,0.84,2.36,4,Hemicryptophyte,terrestrial,non-woody,0.27,8.5,439.3,19.3,25.9,9.5,2.8,7.3,4,achene,3,0d,3,4,0.28,0.66,0.205,1191.76,108.8,46.6,AM,14.1,1.04,0.434709,10.8,1141.8,19.9,64.6,0.441,0.49,CSR,no,deciduous,no,none,C3
Alchemilla heptagona,1,Passive,0.85,2.44,4,Hemicryptophyte,terrestrial,non-woody,0.252,7.95,441,18.6,25.3,8.9,2.9,6.69,4,achene,3,0d,3,3,0.3,0.63,0.193,1341.35,147.55,54.3,AM,15.2,1.04,0.462281333333333,5.3,828.7,19.2,38.8,0.437,0.51,CSR,no,deciduous,no,none,C3
Alchemilla hirsuticaulis,1,Passive,0.84,2.42,4,Hemicryptophyte,terrestrial,non-woody,0.25,8.21,422.5,17.5,27.4,8.7,3.2,7.48,4,achene,3,0d,3,3,0.27,0.61,0.181,1466.44,153.29,46,AM,15.8,1.08,0.446455333333334,6.8,714.6,18.8,32.7,0.438,0.5,CSR,no,deciduous,no,none,C3
