species,dispersal_distance_class,dispersal_vector,seed_buoyancy,seed_terminal_velocity,palatability,growth_form,growth_form_aquatic,woodiness,LDMC,SLA,leaf_C,leaf_CN_ratio,leaf_N,leaf_NP_ratio,leaf_P,leaf_chlorophyll,longevity,fruit_type,nectar_production,pollinator_type,seed_bank_persistency,seed_dormancy,seed_longevity_index,seed_mass,RDMC,SRA,SRL,mycorrhiza_colonization_intensity,mycorrhiza_type,root_N,root_P,root_mass_fraction,height,leaf_area,leaf_length,leaf_mass,leaf_thickness,rooting_depth,Grime_strategy,carnivory,leaf_phenology,nitrogen_fixation,parasitism,photosynthetic_pathway
Calamagrostis arenaria,2,Passive,0.77,3.58,4,Cryptophyte,terrestrial,non-woody,0.34,2.68,494.1,36.1,11.7,6.4,1,5.4,4,nut,1,0c,2,4,0.04,1.75,0.19,740.45,102.08,70,AM,9.6,0.79,0.255,29.8,494.2,173.3,60,0.5,0.74,CS,no,evergreen,no,none,C3
Calamagrostis arundinacea,2,Passive,0.91,0.92,3,Hemicryptophyte,terrestrial,non-woody,0.376,7.54,451,26.9,18.1,11.5,2.2,5.83,4,achene,1,0b,2,2,0.1,0.8,0.212,750.22,113.89,31,AM,9.4,0.9,0.433906333333333,29.6,538.3,59.5,27.1,0.415,0.52,C,no,deciduous,no,none,C3
Calamagrostis canescens,2,Passive,0.9,0.73,4,Hemicryptophyte,terrestrial,non-woody,0.321,7.66,444.4,21.7,22.3,13.1,1.5,6.39,4,achene,1,0b,3,3,0.12,0.39,0.204,869.35,62.89,23.3,AM,9.1,0.9,0.408322,37.1,369.8,62.3,15.7,0.431,0.49,CS,no,deciduous,no,none,C3
Calamagrostis chalybaea,2,Passive,0.91,1.85,4,Hemicryptophyte,terrestrial,non-woody,0.317,8.55,446.5,21.6,21.9,11.1,1.9,6.51,4,nut,1,0d,2,2,0.15,0.55,0.22,1095.28,69.16,49.1,AM,9.8,0.9,0.436363666666666,36.4,188.1,61.8,9.1,0.42,0.5,CSR,no,deciduous,no,none,C3
Calamagrostis epigejos,2,Passive,1,0.18,4,Hemicryptophyte,terrestrial,non-woody,0.356,7.66,454.2,33.1,19.1,17.6,1.4,4.11,4,nut,1,0b,3,3,0.07,0.39,0.205,804.14,17.33,36.7,AM,6.6,0.84,0.445,33.6,688.4,101.5,16.5,0.45,0.59,C,no,deciduous,no,none,C3
Calamagrostis lapponica,1,Passive,0.9,1.84,4,Hemicryptophyte,terrestrial,non-woody,0.36,8.44,448.6,25.3,15.5,13.8,1.4,5.28,4,achene,1,0b,1,3,0,0.49,0.199,1070.97,48.21,0,AM,9,0.98,0.427288,5.9,97.9,49.9,7.4,0.42,0.38,CSR,no,deciduous,no,none,C3
Calamagrostis purpurascens,2,Passive,0.93,1.8,4,Hemicryptophyte,terrestrial,non-woody,0.303,5.87,440.9,23.2,16.3,10.8,1.8,7.44,4,nut,1,0b,2,2,0.11,0.39,0.208,874.83,70.39,47.3,AM,9.1,0.93,0.469205166666667,9.3,129.9,48.1,16.9,0.425,0.67,CSR,no,deciduous,no,none,C3
Calamagrostis purpurea,2,Passive,0.91,1.7,4,Hemicryptophyte,terrestrial,non-woody,0.295,11.08,454,20.4,35,12.7,1.9,5.42,4,achene,1,0d,2,3,0.5,0.4,0.196,905.28,57.51,0,AM,9.7,0.89,0.414909,22.8,445.1,53.9,14.4,0.427,0.48,CS,no,deciduous,no,none,C3
Calamagrostis stricta,2,Passive,0.94,2.49,4,Hemicryptophyte,terrestrial,non-woody,0.347,7.99,445.6,24.3,13.8,8.1,1.7,6.46,4,achene,1,0b,2,3,0.1,0.46,0.199,894.13,57.03,27.3,AM,8.9,1.36,0.433561166666667,11.9,397.1,44.3,13.6,0.43,0.43,CS,no,deciduous,no,none,C3
Calamagrostis varia,2,Passive,1,0.68,4,Hemicryptophyte,terrestrial,non-woody,0.32,7.27,434.2,19.9,26.8,12.6,2.8,6.1,4,achene,1,0b,1,3,0,0.41,0.207,1027.98,60.05,51.7,AM,10.2,0.95,0.479821666666666,22.1,878.7,63.3,19.8,0.431,0.51,CS,no,deciduous,no,none,C3
Calendula officinalis,5,Passive,0.68,3.89,3,Therophyte,terrestrial,non-woody,0.16,9.42,413.6,13.6,33.1,12.1,2.9,10.35,1,achene,5,2,3,1,0.44,1.86,0.133,848.17,109.74,3,AM,14.5,1.21,0.343181666666667,15.1,612.5,37.2,31,0.476,0.56,CR,no,deciduous,no,none,C3
Calla palustris,6,Bird,0.99,3.01,2,Cryptophyte,terrestrial,non-woody,0.106,12.44,441.2,20.6,32.8,20,0.8,13.18,4,berry,4,1,2,4,0.06,1.15,0.198,293.49,5.9,0,AM,12.1,0.98,0.480047,7.4,3676.4,42.8,115.1,0.473,0.53,CS,no,deciduous,no,none,C3
Callitriche brutia,6,Water,0.64,2.09,3,Cryptophyte,aquatic,non-woody,0.136,17.66,399.9,17.6,27.5,13.4,2.6,7.54,2,achene,1,0c,2,3,0.33,0.52,0.13,1188.11,179.78,10.5,None,16,0.98,0.300077666666667,8,15.4,5.6,0.8,0.454,0.44,CSR,no,evergreen,no,none,C3
Callitriche cophocarpa,6,Water,0.7,2.23,2,Cryptophyte,aquatic,non-woody,0.137,21.28,416.4,17.2,28.5,11.6,2.6,7.71,3,achene,1,0c,2,3,0.26,0.58,0.118,1225.09,191.79,10.8,None,17,1.01,0.335689,5.9,31.8,7.7,1.2,0.446,0.43,CSR,no,evergreen,no,none,C3
Callitriche hamulata,6,Water,0.64,2.08,3,Cryptophyte,aquatic,non-woody,0.258,38.25,421.9,19.6,26.1,13.9,2.2,7.34,1,capsule,1,0c,2,3,0.31,0.49,0.161,1107.95,132.55,8.3,None,14.3,0.9,0.324500333333333,12,9,5.5,0.5,0.448,0.44,CSR,no,evergreen,no,none,C3
Callitriche hermaphroditica,6,Water,0.36,1.99,3,Cryptophyte,aquatic,non-woody,0.151,25.67,417.2,18.3,27.8,12.3,2.5,7.15,4,achene,1,0c,2,3,0.33,0.43,0.137,1145.73,192.69,8.9,None,15.7,0.93,0.318236,8.2,12.5,6,0.7,0.445,0.43,CSR,no,evergreen,no,none,C3
Callitriche palustris,6,Water,0.65,1.94,3,Cryptophyte,aquatic,non-woody,0.111,36.25,417.9,18,26.1,11.9,2.2,7.55,3,achene,1,0b,3,3,0.5,0.41,0.151,1276.55,179.04,0,None,14,0.94,0.331044666666667,5.8,22,3.7,0.6,0.443,0.39,CSR,no,evergreen,no,none,C3
Callitriche platycarpa,6,Water,0.66,2.06,3,Cryptophyte,aquatic,non-woody,0.101,37.41,418.4,17.4,27.4,13.5,2.6,8.35,3,achene,1,0c,2,3,0.33,0.42,0.118,1145.9,183.53,8.5,None,16.6,0.99,0.317682,9.5,13,5.7,0.6,0.444,0.44,CSR,no,evergreen,no,none,C3
Callitriche stagnalis,6,Water,0.66,1.13,3,Cryptophyte,aquatic,non-woody,0.07,10.97,417.6,19.5,25.8,12.8,2.2,7.68,3,capsule,1,0c,2,3,0.33,0.4,0.143,1043.85,155.92,15.2,None,14.9,0.97,0.327350666666667,3,6.5,3,0.8,0.413,0.43,CSR,no,evergreen,no,none,C3
Calluna vulgaris,5,AirD,0.95,1.47,4,Chamaephyte,terrestrial,woody,0.406,4.76,508.4,36.7,14.2,13.7,1.1,2.6,4,capsule,5,2a,4,2,0.61,0.4,0.505,114.98,5.38,36.7,EriM,3.5,0.46,0.2032,15.9,1,1.7,0.4,0.471,0.46,CS,no,evergreen,no,none,C3
Caltha palustris,2,Passive,0.78,2.91,3,Hemicryptophyte,terrestrial,non-woody,0.161,11.45,455.8,15.1,46.9,7.9,2,7.44,4,capsule,2,1,3,4,0.07,0.73,0.156,1166.71,127.91,40,AM,14.7,0.83,0.467528,10.3,2031.6,14.1,69.1,0.472,0.44,CSR,no,deciduous,no,none,C3
Calypso bulbosa,4,AirD,0.77,0.48,3,Cryptophyte,terrestrial,non-woody,0.155,9.38,459.2,18.2,28.8,11.5,2.4,6.85,4,capsule,1,2a,1,3,0.03,0.37,0.202,855.7,40.75,67.5,OrkM,11.8,0.99,0.556294999999999,6.3,511.1,39.7,24.5,0.481,0.45,CSR,no,deciduous,no,none,C3
Calystegia pulchra,2,Passive,0.64,3.84,2,Cryptophyte,terrestrial,non-woody,0.203,9.09,438.4,15.1,34,11.4,3.1,8.82,4,capsule,4,1b,2,3,0.14,15.39,0.121,906.57,123.16,51.2,AM,13.8,1.13,0.338908666666667,68.7,2617,39.4,166.1,0.449,0.49,C,no,deciduous,no,none,C3
Calystegia sepium,2,Passive,0.62,5.01,4,Hemicryptophyte,terrestrial,non-woody,0.183,12.56,460.1,14.7,31.6,12.7,1.9,10.1,4,capsule,4,1b,4,3,0.18,10.94,0.059,1211.87,1274.33,70,AM,3.1,1.11,0.28,61.8,759,31.6,33.8,0.43,0.52,C,no,deciduous,no,none,C3
Calystegia soldanella,2,Passive,0.68,3.06,3,Hemicryptophyte,terrestrial,non-woody,0.12,5.54,406.6,12.5,23.4,13.4,1.7,6.98,4,capsule,4,1,2,3,0,21.08,0.16,776.66,112.62,30,AM,11.8,0.97,0.339160666666667,9.2,253.4,10.4,20,0.503,0.57,CS,no,deciduous,no,none,C3
Camelina alyssum,2,Passive,0.58,3.17,2,Therophyte,terrestrial,non-woody,0.14,12.6,409.7,12,41.4,12,3.7,12.36,1,capsule,3,1,3,1,0.46,0.9,0.12,992.97,368.8,5.6,None,16.4,1.25,0.28572,16.1,242.7,27,9.5,0.444,0.51,R,no,deciduous,no,none,C3
Camelina microcarpa,2,Passive,0.54,2.23,2,Hemicryptophyte,terrestrial,non-woody,0.147,7.7,387.9,7.5,51.7,12.7,3.8,10.07,1,capsule,4,1,2,1,0.5,0.49,0.12,1303.58,417.91,0,None,16.9,1.22,0.291022666666667,13.4,168.2,17.8,9.1,0.489,0.55,SR,no,deciduous,no,none,C3
Camelina sativa,2,Passive,0.54,3.16,2,Therophyte,terrestrial,non-woody,0.1,16.88,402.6,10.2,61.9,12.6,3.6,11.51,1,capsule,4,1,3,1,0.5,0.76,0.119,1054.04,454.45,5.4,None,17.5,1.37,0.271908666666667,18.7,366.2,16.9,12.5,0.455,0.52,CR,no,deciduous,no,none,C3
Campanula alliariifolia,2,Passive,0.66,3.03,3,Hemicryptophyte,terrestrial,non-woody,0.171,10.19,429.7,15.6,32.2,11.1,2.9,9.25,4,capsule,5,1a,2,2,0.12,0.48,0.147,797.13,55.37,30,AM,14,1.08,0.446642333333333,21.5,1623.7,41.9,67.3,0.466,0.51,CSR,no,deciduous,no,none,C3
Campanula barbata,1,Passive,0.81,1.42,4,Hemicryptophyte,terrestrial,non-woody,0.164,7.57,430.4,25.8,21.8,10.2,2,5.76,4,capsule,4,1,1,3,0,0.39,0.222,939.65,25.33,45.6,AM,10.1,0.98,0.507842666666667,7.7,94,13.9,6.3,0.471,0.47,CSR,no,deciduous,no,none,C3
Campanula cervicaria,2,Passive,0.99,1.43,3,Hemicryptophyte,terrestrial,non-woody,0.234,7.76,435.4,18.2,26.2,10.6,2.6,7.71,2,capsule,4,1a,2,2,0.18,0.4,0.15,1029.14,121.84,49.2,AM,12.1,1.04,0.469047,14.5,134.6,23.6,7.8,0.45,0.47,CSR,no,deciduous,no,none,C3
Campanula giesekiana,2,Passive,0.76,2.64,3,Hemicryptophyte,terrestrial,non-woody,0.187,7.84,392,16,28.2,9.7,2.9,6.67,4,capsule,4,1,2,2,0.12,0.76,0.156,1080.66,72.54,40.8,AM,13.2,1,0.476659,4.1,131.4,15.5,7.3,0.482,0.49,CSR,no,deciduous,no,none,C3
Campanula glomerata,2,Veg,0.79,1.99,4,Hemicryptophyte,terrestrial,non-woody,0.216,10.56,440.6,18.8,27,10.7,2.5,7.61,4,capsule,4,0a,2,2,0.25,0.42,0.181,1170.27,96.64,43.3,AM,11.7,1.02,0.467890333333333,9.6,332.2,22.4,15.9,0.437,0.5,CSR,no,deciduous,no,none,C3
Campanula lactiflora,2,Passive,0.78,1.92,3,Hemicryptophyte,terrestrial,non-woody,0.184,9.62,434.4,18.1,27.2,9.9,2.7,8.34,4,capsule,4,1a,2,2,0.14,0.38,0.146,1166.25,113.27,54.6,AM,12.6,1.05,0.450338333333333,41.9,1582.6,40.1,64.2,0.462,0.49,CSR,no,deciduous,no,none,C3
Campanula latifolia,2,Passive,0.36,2.03,3,Hemicryptophyte,terrestrial,non-woody,0.156,21.78,434.7,17.2,28.1,9.7,3,10.56,4,capsule,5,2a,2,4,0,0.48,0.153,1155.13,137.28,34,AM,12.3,1.06,0.424167999999999,30.7,1755.8,36.9,29.1,0.444,0.49,CS,no,deciduous,no,none,C3
Campanula medium,2,Passive,0.67,2.45,3,Hemicryptophyte,terrestrial,non-woody,0.178,8.24,430.1,17.7,29.1,10,2.9,7.96,2,capsule,5,2a,2,2,0.22,0.47,0.147,902.98,82.06,49.1,AM,12.4,1.11,0.41839,21,1784.3,51.9,85.9,0.467,0.52,CR,no,deciduous,no,none,C3
Campanula patula,2,Passive,0.71,2.25,4,Hemicryptophyte,terrestrial,non-woody,0.139,14.97,389.8,12.1,27.4,11,2.8,9.04,2,capsule,4,1a,4,2,0.45,0.38,0.144,4857.71,317.02,67.3,AM,15.3,1.05,0.3456,14,171.6,38.3,5.1,0.41,0.5,CSR,no,deciduous,no,none,C3
Campanula persicifolia,2,Passive,0.8,1.66,4,Hemicryptophyte,terrestrial,non-woody,0.2,7.48,455.7,23,20.6,9.8,2.3,7.05,4,capsule,5,2a,3,2,0.25,0.4,0.173,996.76,87.75,54.3,AM,10.5,1.03,0.494564,17,140,24.2,8.4,0.459,0.47,CSR,no,deciduous,no,none,C3
Campanula rapunculoides,2,Passive,0.36,2.3,3,Hemicryptophyte,terrestrial,non-woody,0.152,16.38,436.4,17.1,28.4,9.5,2.9,9.11,4,capsule,5,2a,2,2,0.04,0.42,0.138,1058.73,121.76,40,AM,11.4,1.04,0.454903333333333,18.1,820.4,29.8,16.2,0.561,0.52,CSR,no,deciduous,no,none,C3
Campanula rapunculus,2,Passive,0.67,2.26,3,Hemicryptophyte,terrestrial,non-woody,0.161,15.53,431.3,16.4,29.6,11,2.5,9.12,2,capsule,4,2a,1,2,0,0.38,0.143,1208.53,117.52,47.7,AM,12.6,1.07,0.461308333333333,17.7,205.1,29.8,4.3,0.47,0.52,CSR,no,deciduous,no,none,C3
Campanula rotundifolia,1,Passive,0.97,1.36,4,Hemicryptophyte,terrestrial,non-woody,0.218,10.05,452.3,19.9,22.1,11,1.8,10.93,4,capsule,4,2a,3,2,0.2,0.39,0.113,1419.52,176.91,36.7,AM,13,0.97,0.7768,7.6,26.4,7,1.5,0.439,0.48,CSR,no,deciduous,no,none,C3
Campanula trachelium,2,Passive,0.59,2.18,4,Hemicryptophyte,terrestrial,non-woody,0.156,15,441.8,16.6,27,9.7,3,10.12,4,capsule,5,2a,3,3,0.58,0.43,0.152,1197.11,144.51,50.7,AM,12.2,1.1,0.397928666666666,25.7,1152.1,35.6,28,0.442,0.5,CS,no,deciduous,no,none,C3
Campanula uniflora,2,Passive,0.77,1.95,3,Hemicryptophyte,terrestrial,non-woody,0.211,10.68,454.1,18.6,25.1,9.8,2.6,5.19,4,capsule,4,1,1,4,0.05,0.55,0.216,1059.42,45.65,48.6,AM,12.7,1.12,0.477822,2.1,8.1,6.9,0.6,0.449,0.44,CSR,no,deciduous,no,none,C3
Capsella bursa-pastoris,1,Passive,0.57,1.61,2,Therophyte,terrestrial,non-woody,0.153,12.88,402.1,12.2,39.3,13,2.2,15.68,1,pod,3,0c,4,1,0.44,0.42,0.125,1129.87,2057.62,10,None,15.1,1.12,0.2245,9.2,241.9,38.4,4.3,0.453,0.49,SR,no,evergreen,no,none,C3
Caragana arborescens,2,Passive,0.46,4.11,3,Phanerophyte,terrestrial,woody,0.365,9.02,451.2,16.9,32.4,14.7,2.1,7.42,4,capsule,4,2a,2,3,0.12,9.11,0.182,516.55,27.8,100,AM,18.7,1.07,0.338311555555555,148.8,390.1,8.6,16.9,0.433,0.52,C,no,deciduous,yes,none,C3
Caragana frutex,2,Passive,0.39,3.92,4,Phanerophyte,terrestrial,woody,0.27,7.37,443.5,14.9,32.3,14.9,2,7.85,4,capsule,4,2a,2,3,0.08,2.4,0.17,836.82,34.65,61.8,AM,19.8,1.09,0.333877666666667,55,262.1,14.6,13.6,0.448,0.55,CS,no,deciduous,yes,none,C3
Cardamine amara,2,Passive,0.69,2.4,3,Hemicryptophyte,terrestrial,non-woody,0.105,16.59,416.5,15.1,33.9,10,3.8,9.74,4,capsule,3,1,3,3,1,0.47,0.139,1830.67,264.21,0,None,15.4,1.08,0.338025,11.1,575.8,22.4,22.7,0.445,0.48,CSR,no,evergreen,no,none,C3
Cardamine bellidifolia,1,Passive,0.69,2.76,3,Hemicryptophyte,terrestrial,non-woody,0.204,8.08,434.5,17.7,28.5,9.4,3.2,6.76,3,capsule,3,0c,2,2,0,0.44,0.192,1297.82,125.07,12.5,None,14.4,1.14,0.369190333333333,2.1,4.6,6.3,0.7,0.476,0.45,CSR,no,evergreen,no,none,C3
Cardamine bulbifera,2,Passive,0.59,3.55,3,Hemicryptophyte,terrestrial,non-woody,0.128,17.46,392.4,11.9,33.6,10,3.5,11.23,4,capsule,3,0a,1,3,0,2.38,0.144,1547.72,336.25,10,None,15.2,1.18,0.380009666666666,16.4,1083.9,24.6,22.8,0.44,0.5,CSR,no,deciduous,no,none,C3
Cardamine flexuosa,1,Passive,0.29,2.17,2,Hemicryptophyte,terrestrial,non-woody,0.129,15.26,422.1,14.8,34.2,10.3,3.4,10.19,1,siliqua,3,0c,2,2,0.44,0.41,0.117,1543.72,317.65,10,None,15.7,1.07,0.326773,10.8,210.2,16.7,4.9,0.442,0.46,CSR,no,evergreen,no,none,C3
Cardamine hirsuta,1,Passive,0.93,1.74,1,Hemicryptophyte,terrestrial,non-woody,0.122,10.77,464.7,26,17.9,10.3,3.2,9.11,1,siliqua,3,0c,3,2,0.35,0.41,0.163,1186.48,248.27,10,None,13.5,1.05,0.378060666666667,7.5,117.2,20.6,4,0.451,0.44,CSR,no,deciduous,no,none,C3
Cardamine impatiens,2,Passive,0.64,2.27,2,Hemicryptophyte,terrestrial,non-woody,0.311,12.8,423.7,14.8,34.7,10.5,3.7,9.51,1,capsule,3,0c,3,2,0.39,0.45,0.134,1382.49,307.57,0,None,15.3,1.16,0.346662666666667,18,88.3,13.2,3,0.437,0.48,CSR,no,evergreen,no,none,C3
Cardamine nymanii,1,Passive,0.7,2.14,3,Hemicryptophyte,terrestrial,non-woody,0.162,8.29,428.9,16.8,31.5,10,3.5,5.14,3,capsule,3,0c,2,2,0.25,0.46,0.177,1384.98,138.25,6,None,14.8,1.15,0.345709666666667,3,12.8,5.9,0.9,0.483,0.45,CSR,no,evergreen,no,none,C3
Cardamine occulta,2,Passive,0.58,3.11,2,Therophyte,terrestrial,non-woody,0.14,12.61,405.1,11,46.7,13.7,3.5,11.68,1,capsule,3,0c,3,2,0.52,0.8,0.113,953.36,317.47,5.1,None,17.6,1.41,0.264728666666667,15.1,394.4,24.3,14.2,0.449,0.51,CR,no,deciduous,no,none,C3
Cardamine parviflora,1,Passive,0.68,2.04,2,Therophyte,terrestrial,non-woody,0.165,13.17,404.5,14.9,35.7,11,3.8,7.55,1,capsule,3,0c,3,2,0.56,0.41,0.134,1324.73,324.52,7,None,15.9,1.05,0.337207333333334,7.5,29.3,2.2,1.3,0.461,0.46,CSR,no,evergreen,no,none,C3
Cardamine pratensis,2,Passive,0.72,3.01,2,Hemicryptophyte,terrestrial,non-woody,0.197,8.71,399.1,15.6,27.9,8.3,4.2,4.62,4,capsule,4,1,3,2,0.3,0.63,0.167,3711.25,380.5,0,None,18.5,1.01,0.2794,11.2,133.9,20.2,6.6,0.461,0.47,CSR,no,deciduous,no,none,C3
Carduus acanthoides,5,AirW,0.71,0.39,3,Hemicryptophyte,terrestrial,non-woody,0.118,7.68,413.5,15.5,31.3,10.8,3,8.43,2,achene,7,1,1,1,0.09,1.34,0.142,840.19,59.14,60.3,AM,11.9,1.08,0.495020333333333,32.3,1943.4,55.5,66.1,0.525,0.68,CR,no,evergreen,no,none,C3
Carduus crispus,5,AirW,0.96,1.33,2,Hemicryptophyte,terrestrial,non-woody,0.131,7.91,431.1,16.9,30.2,10.9,3.1,8.15,2,achene,7,1,4,1,0.21,1.03,0.141,895.42,77.45,70,AM,11.3,1.07,0.486452666666667,38,1318.4,61.4,68.3,0.502,0.56,CR,no,deciduous,no,none,C3
Carduus nutans,3,AirW,0.68,0.33,3,Hemicryptophyte,terrestrial,non-woody,0.114,5.56,408.5,12.3,33.1,10.9,3.1,8.82,2,achene,7,1,3,1,0.21,1.59,0.145,1072.96,114.15,50,AM,14.5,1.13,0.506211666666667,27.8,1665.9,92.3,108.1,0.67,0.92,CR,no,deciduous,no,none,C3
Carex acuta,2,Water,0.93,2.43,5,Hemicryptophyte,terrestrial,non-woody,0.319,6.53,465.4,17,27.4,12.3,1.9,6.79,4,achene,1,0b,3,3,0.19,0.73,0.187,869.47,81.27,3.3,None,10,0.93,0.395166,31.2,875.1,55,49.6,0.446,0.51,CS,no,deciduous,no,none,C3
Carex acutiformis,2,Water,0.99,1.48,5,Cryptophyte,terrestrial,non-woody,0.309,6.31,451.4,24.5,11.7,15.4,0.5,7.21,4,achene,1,0b,3,3,0.05,0.73,0.19,356.83,19.67,10,None,12.3,1.42,0.4383,29.3,2119.4,65.2,157.8,0.468,0.57,CS,no,deciduous,no,none,C3
Carex adelostoma,2,Water,0.95,2.21,3,Hemicryptophyte,terrestrial,non-woody,0.336,6.13,471.7,20.2,23.1,13.3,1.6,5.66,4,achene,1,0b,2,3,0.12,0.75,0.204,847.09,47.41,7.1,None,9.5,0.94,0.400884,8.8,105,33.3,7.6,0.498,0.47,CSR,no,deciduous,no,none,C3
Carex appropinquata,3,Water,0.99,2.94,3,Hemicryptophyte,terrestrial,non-woody,0.277,6.61,450.4,25.8,17,15.6,1.2,5.84,4,achene,1,0b,2,3,0.19,0.69,0.203,688.92,64.48,10,None,8.6,0.86,0.409894333333333,19.3,175.7,55.2,14.1,0.46,0.5,CS,no,deciduous,no,none,C3
Carex aquatilis,2,Water,1,1.25,4,Cryptophyte,terrestrial,non-woody,0.433,5.5,454.8,15.3,22.3,10.3,1.7,7.1,4,achene,1,0b,3,3,0.42,0.52,0.193,850.2,75.1,3.3,None,11.8,0.88,0.393015,20.1,514,51.9,34.7,0.489,0.46,CS,no,evergreen,no,none,C3
Carex arctogena,2,Passive,0.85,1.84,4,Hemicryptophyte,terrestrial,non-woody,0.393,3.25,454.8,22.7,17.6,11.2,1.8,3.96,4,achene,1,0b,1,3,0.06,0.6,0.213,807,28.54,10.3,None,8.8,1,0.43609,4.6,16,26,2.4,0.513,0.45,CSR,no,evergreen,no,none,C3
Carex arenaria,2,Passive,0.91,2.3,2,Hemicryptophyte,terrestrial,non-woody,0.327,5.46,462.9,23.2,21.3,13.5,1.1,5.26,4,achene,1,0b,3,3,0.13,0.72,0.198,835.52,74.41,10,None,7.8,0.87,0.2267,9.1,181.6,36.3,26.2,0.472,0.48,CS,no,evergreen,no,none,C3
Carex atherodes,2,Water,0.95,2.64,3,Cryptophyte,terrestrial,non-woody,0.32,8.7,435.9,20.5,22.9,13,1.7,7.8,4,achene,1,0b,2,3,0.22,1.44,0.187,994.3,72.47,6.8,None,10.5,0.94,0.427029666666667,35.4,604.4,66.1,26.8,0.448,0.44,CS,no,deciduous,no,none,C3
Carex atrata,1,Passive,1,2.01,3,Hemicryptophyte,terrestrial,non-woody,0.319,7.19,453.9,18.1,25.8,13.9,1.9,5.75,4,achene,1,0b,2,3,0.2,0.6,0.203,817.62,67.81,3.3,None,11.3,0.95,0.433969666666666,7.5,204.1,43.2,13.7,0.468,0.49,CS,no,deciduous,no,none,C3
Carex atrofusca,1,Water,0.79,2.14,3,Hemicryptophyte,terrestrial,non-woody,0.35,7.3,445.6,16.9,24.7,15,1,5.56,4,achene,1,0b,1,3,0.09,0.92,0.194,969.66,51.66,10,None,11.1,0.98,0.434665,6.2,57.2,26.2,2.7,0.52,0.45,CSR,no,deciduous,no,none,C3
Carex bicolor,1,Water,0.89,1.97,3,Hemicryptophyte,terrestrial,non-woody,0.321,8.02,448.5,19.6,23.8,12.3,1.9,5.9,4,achene,1,0b,1,3,0,0.58,0.193,1082.5,60.53,9.9,None,10.7,1.1,0.406807,4.6,34.4,27.3,2.4,0.471,0.45,CSR,no,evergreen,no,none,C3
Carex bigelowii,1,Passive,0.5,2.09,4,Cryptophyte,terrestrial,non-woody,0.362,5.65,463.7,21.4,21.4,11.3,1.7,6.54,4,achene,1,0b,4,3,0.38,0.62,0.215,836.44,32.21,10,None,7.3,0.97,0.5929,5.2,111.9,34.2,5.6,0.49,0.53,CSR,no,deciduous,no,none,C3
Carex binervis,2,Passive,0.93,2.3,3,Hemicryptophyte,terrestrial,non-woody,0.365,5.24,478.9,28,17.1,12.1,1.9,5.23,4,achene,1,0b,2,3,0.21,0.92,0.216,675.71,39.16,10,None,7.7,0.91,0.426536999999999,22.9,116.6,39.9,8.8,0.457,0.39,CS,no,evergreen,no,none,C3
Carex bohemica,1,Passive,0.98,1.21,3,Hemicryptophyte,terrestrial,non-woody,0.29,8.06,425.9,22.2,21.2,11.9,1.9,6.14,3,achene,1,0b,3,3,0.31,0.45,0.196,956.25,85.75,9.3,None,9.7,0.97,0.417222333333334,7.6,67.4,28.5,3.7,0.443,0.46,CSR,no,deciduous,no,none,C3
Carex brunnescens,2,Passive,0.94,1.89,3,Hemicryptophyte,terrestrial,non-woody,0.637,5.34,456.1,24.2,17.8,13.1,1.6,4.98,4,achene,1,0b,3,3,0.31,0.51,0.223,708.45,31.45,0,None,8.2,0.92,0.406298333333333,8.4,108.9,37,8.4,0.463,0.47,CS,no,deciduous,no,none,C3
Carex buxbaumii,2,Water,0.98,2.54,3,Cryptophyte,terrestrial,non-woody,0.287,6.97,454.6,23.1,18.4,13.7,1.3,6.11,4,achene,1,0b,2,3,0.17,0.78,0.193,711.72,68.79,10,None,9.6,0.94,0.428662333333333,18.9,806.8,52.4,38.2,0.457,0.5,CS,no,deciduous,no,none,C3
Carex canescens,2,Water,0.97,2.04,3,Hemicryptophyte,terrestrial,non-woody,0.274,9.71,460.4,23.4,20.5,15.8,1.7,5.93,4,achene,1,0b,1,3,0.16,0.5,0.208,862.19,38.25,3.3,None,8,0.9,0.409762666666666,9,124.7,42.1,5,0.453,0.44,CSR,no,deciduous,no,none,C3
Carex capillaris,1,Water,0.93,1.96,3,Hemicryptophyte,terrestrial,non-woody,0.366,5.66,458.4,23.4,18.6,13.8,1.5,4.85,4,achene,1,0b,2,3,0.11,0.57,0.2,764.5,56.23,10,None,8.9,0.92,0.386554,6.1,15.3,25,1.6,0.472,0.39,CS,no,evergreen,no,none,C3
Carex capitata,1,Water,0.86,2.24,3,Hemicryptophyte,terrestrial,non-woody,0.416,5.09,492.3,28.8,16.4,14.5,1.4,5.33,4,achene,1,0c,2,3,0.08,0.99,0.21,722.42,38.12,0,None,9.2,0.87,0.416504,6.1,331,51.7,31.7,0.456,0.47,CSR,no,deciduous,no,none,C3
Carex caryophyllea,3,Passive,0.92,2.05,3,Hemicryptophyte,terrestrial,non-woody,0.334,7.31,497.5,23.7,18.8,12.9,1.1,3.05,4,achene,1,0b,3,3,0.14,0.73,0.212,992.23,70.86,10,None,8.8,0.96,0.4172,5.6,88,28.5,5.9,0.46,0.49,CSR,no,deciduous,no,none,C3
